tier,question,trial,final_answer,diagnosis,num_rag_calls,elapsed_sec
1-hop,2024년 삼성전자 매출액이 얼마야?,1,2024년 삼성전자 매출액은 300조 8709억원입니다.,성공,1,56.0
1-hop,2024년 삼성전자 매출액이 얼마야?,2,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,45.0
1-hop,2024년 삼성전자 매출액이 얼마야?,3,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,45.0
1-hop,2024년 삼성전자 매출액이 얼마야?,4,삼성전자의 2024년 매출액은 300조 8709억원입니다.,성공,1,46.3
1-hop,2024년 삼성전자 매출액이 얼마야?,5,2024년 삼성전자 매출액은 300조 8709억원입니다.,성공,1,44.4
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,1,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,2,80.1
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,2,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.5
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,3,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,46.1
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,4,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.3
1-hop,2023년 SK하이닉스 영업이익은 얼마야?,5,2023년 SK하이닉스 영업이익은 -8조 2696억원입니다.,성공,1,47.3
1-hop,2024년 현대자동차 자산총계는?,1,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.5
1-hop,2024년 현대자동차 자산총계는?,2,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.3
1-hop,2024년 현대자동차 자산총계는?,3,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.6
1-hop,2024년 현대자동차 자산총계는?,4,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,48.0
1-hop,2024년 현대자동차 자산총계는?,5,현대자동차의 2024년 자산총계는 339조 7984억원입니다.,성공,1,46.3
